fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion,precio_final_crc,producto_normalizado,retailer_normalizado,precio_equivalente_750ml_crc,segmento_precio,tipo_cambio_compra_usd,tipo_cambio_venta_usd
2026-09-10,Walmart Costa Rica,Vinos general,Vino Frontera Frutal Tropical Mango Maracuyá - 750 ml Vendido por Walmart,8800.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,8800.0,vino frontera frutal tropical mango maracuyá - 750 ml vendido por walmart,walmart costa rica,8800.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Casillero del Diablo Reserve Sauvignon Blanc - 750ml Vendido por Walmart,13780.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,13780.0,vino blanco casillero del diablo reserve sauvignon blanc - 750ml vendido por walmart,walmart costa rica,13780.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Catena Malbec - 750 ml Vendido por Walmart,5480.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5480.0,vino tinto catena malbec - 750 ml vendido por walmart,walmart costa rica,5480.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Trapiche Pinot Grigio -750ml Vendido por Walmart,6030.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,6030.0,vino blanco trapiche pinot grigio -750ml vendido por walmart,walmart costa rica,6030.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Merlot - 750 ml Vendido por Walmart,9810.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,9810.0,vino tinto trapiche merlot - 750 ml vendido por walmart,walmart costa rica,9810.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Les Jamelles Petite Rosado - 750 ml Vendido por Walmart,6920.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,6920.0,vino les jamelles petite rosado - 750 ml vendido por walmart,walmart costa rica,6920.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Fantini Sangiovese - 750ml Vendido por Walmart,13960.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,13960.0,vino tinto fantini sangiovese - 750ml vendido por walmart,walmart costa rica,13960.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Robert Mondavi Mondavi Cabernet Sauvignon - 750 ml Vendido por Walmart,15180.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,15180.0,vino tinto robert mondavi mondavi cabernet sauvignon - 750 ml vendido por walmart,walmart costa rica,15180.0,super premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Familia Pasqua Passimento - 750 ml Vendido por Walmart,9300.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,9300.0,vino familia pasqua passimento - 750 ml vendido por walmart,walmart costa rica,9300.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Clos De Pirque Blanco - 1000ml,3100.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,3100.0,vino clos de pirque blanco - 1000ml,masxmenos costa rica,2325.0,económico,446.61,451.08
